Date,Condition,Time,Tray,Plant,Hour_m1,µS/cm_m1,°C_m1,Temp.Comp._m1,Offset_m1,Measure_m1,Hour_m2,µS/cm_m2,°C_m2,Temp.Comp._m2,Offset_m2,Measure_m2,C1/C2,Wet_Mean,Wet_Std,Wet_StdErr,Ecp_Mean,Ecp_Std,Ecp_StdErr,Tmp_Mean,Tmp_Std,Tmp_StdErr,Shelf,Leaf_leaf1_x,Fresh weight (mg)_leaf1,Wet weight (mg)_leaf1,Dry weight (mg)_leaf1,RWC (FW-DW)/(TW-DW)_leaf1,Comment_leaf1,Group_leaf1,Leaf_leaf2_x,Fresh weight (mg)_leaf2,Wet weight (mg)_leaf2,Dry weight (mg)_leaf2,RWC (FW-DW)/(TW-DW)_leaf2,Comment_leaf2,Group_leaf2,Mean Fresh weight,Mean Wet weight,Mean Dry weight,Mean RWC,ID_leaf1,Series_leaf1,Repeat_leaf1,Ambient Humidity_leaf1,Ambient Temperature_leaf1,ECSt mAU_leaf1,gH+_leaf1,Leaf Angle_leaf1,Leaf Temperature Differential_leaf1,LEF_leaf1,Light Intensity (PAR)_leaf1,NPQt_leaf1,Phi2_leaf1,PhiNO_leaf1,PhiNPQ_leaf1,PS1 Active Centers_leaf1,PS1 Open Centers_leaf1,PS1 Over Reduced Centers_leaf1,PS1 Oxidized Centers_leaf1,Relative Chlorophyll_leaf1,Thickness_leaf1,vH+_leaf1,time_leaf1,Plant ID_leaf1,Time of Day_leaf1,User_leaf1,Device ID_leaf1,Latitude_leaf1,Longitude_leaf1,Issues_leaf1,Leaf_leaf1_y,ID_leaf2,Series_leaf2,Repeat_leaf2,Ambient Humidity_leaf2,Ambient Temperature_leaf2,ECSt mAU_leaf2,gH+_leaf2,Leaf Angle_leaf2,Leaf Temperature Differential_leaf2,LEF_leaf2,Light Intensity (PAR)_leaf2,NPQt_leaf2,Phi2_leaf2,PhiNO_leaf2,PhiNPQ_leaf2,PS1 Active Centers_leaf2,PS1 Open Centers_leaf2,PS1 Over Reduced Centers_leaf2,PS1 Oxidized Centers_leaf2,Relative Chlorophyll_leaf2,Thickness_leaf2,vH+_leaf2,time_leaf2,Plant ID_leaf2,Time of Day_leaf2,User_leaf2,Device ID_leaf2,Latitude_leaf2,Longitude_leaf2,Issues_leaf2,Leaf_leaf2_y,Mean_Thickness,Mean_ECSt mAU,Mean_gH+,Mean_Leaf Temperature Differential,Mean_LEF,Mean_NPQt,Mean_Phi2,Mean_PhiNO,Mean_PhiNPQ,Mean_PS1 Active Centers,Mean_PS1 Open Centers,Mean_PS1 Over Reduced Centers,Mean_PS1 Oxidized Centers,Mean_Relative Chlorophyll,Mean_vH+
20240112,Control,1,1,G,,,,,,,,,,,,,,66.36666667,2.421432083,1.398014465,249.8666667,48.96594054,28.27049895,19.2,0.1,0.057735027,1,1,7.8,9,0.9,0.851851852,,0,,,,,,,,7.8,9,0.9,0.851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240112,Control,1,1,H,,,,,,,,,,,,,,55.76666667,5.839805933,3.371613527,274.4666667,29.98905356,17.31418814,18.73333333,0.057735027,0.033333333,1,1,3.9,4.4,0.4,0.875,,1,,,,,,,,3.9,4.4,0.4,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240112,Control,1,2,G,,,,,,,,,,,,,,69.2,2.206807649,1.27410099,243.8,46.54642843,26.87359299,19,0.173205081,0.1,1,1,3.4,,,,,8,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240112,Control,1,2,H,,,,,,,,,,,,,,67.16666667,1.755942292,1.013793755,224.7666667,22.85089349,13.19296951,19.1,0.1,0.057735027,1,1,7,7.9,,,destroyed dry,9,,,,,,,,7,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240112,Control,1,5,G,,,,,,,,,,,,,,69.1,0.2,0.115470054,267.4333333,45.75263198,26.41529439,19.16666667,0.152752523,0.08819171,2,1,3.3,3.9,0.3,0.833333333,,2,,,,,,,,3.3,3.9,0.3,0.833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240112,Control,1,5,H,,,,,,,,,,,,,,71.73333333,1.800925688,1.039764931,238.5,48.8691109,28.21459433,18.83333333,0.152752523,0.08819171,2,1,6.9,8.2,0.7,0.826666667,,3,,,,,,,,6.9,8.2,0.7,0.826666667,4038898,Whole Data Set,1,33.894,26.62,0.00013,74.501,22.737,-1.95,16.3333728,59.698,1.183,0.608,0.18,0.212,0.698,0.39,0.348,0.262,8.46,0,0.01,01/12/2024 17:27,5H,17.45388889,Alice Malivert,52:00:08:b6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00013,74.501,-1.95,16.3333728,1.183,0.608,0.18,0.212,0.698,0.39,0.348,0.262,8.46,0.01
20240112,Control,1,6,G,,,,,,,,,,,,,,64.16666667,2.236813209,1.291424709,241.2,48.60565811,28.06248979,19.26666667,0.2081666,0.120185043,2,1,6.9,8,0.4,0.855263158,,10,,,,,,,,6.9,8,0.4,0.855263158,4038901,Whole Data Set,1,33.392,27.1,0.00011,229.603,20.797,-1.95,13.217985,47.3,1.325,0.621,0.163,0.216,0.305,0.77,-0.302,0.532,8.13,0,0.025,01/12/2024 17:29,6G,17.48444444,Alice Malivert,52:00:08:b6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00011,229.603,-1.95,13.217985,1.325,0.621,0.163,0.216,0.305,0.77,-0.302,0.532,8.13,0.025
20240112,Control,1,6,H,,,,,,,,,,,,,,67.13333333,2.136195996,1.233333333,250.2,46.67804623,26.94958256,19.13333333,0.152752523,0.08819171,2,1,1.7,2.1,0,0.80952381,,11,,,,,,,,1.7,2.1,0,0.80952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240112,Control,1,9,G,,,,,,,,,,,,,,65.06666667,1.289702808,0.744610263,233.6333333,9.77258069,5.642202092,19,0.2,0.115470054,3,1,5.3,6.1,0.3,0.862068966,,4,,,,,,,,5.3,6.1,0.3,0.862068966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20240112,Control,1,9,H,,,,,,,,,,,,,,66.93333333,3.178574104,1.835150614,234.3333333,11.69373051,6.75137846,19.3,0.1,0.057735027,3,1,4.7,6,0.2,0.775862069,,5,,,,,,,,4.7,6,0.2,0.775862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
